code	uic	naam	middel_naam	korte_naam	rdt_url	type	geo_lat	geo_lng
ktr	8400359	Kesteren	Kesteren	Kesteren	kesteren	stoptreinstation	51.931385	5.5833464
kw	8400369	Kropswolde	Kropswolde	Kropswolde	kropswolde	stoptreinstation	53.161736	6.7220883
kzd	8400364	Koog-Zaandijk	Koog-Zaandijk	Koog Zaand	koog-zaandijk	stoptreinstation	52.469166	4805
laa	8400380	Den Haag Laan v NOI	Laan v NOI	Laan v NOI	den-haag-laan-v-noi	intercitystation	52.07861	4.3427777
lc	8400399	Lochem	Lochem	Lochem	lochem	stoptreinstation	52.166668	6.4263887
ldl	8400384	Leiden Lammenschans	Lammenschans	Leiden Lam	leiden-lammenschans	stoptreinstation	52.146946	4.4925
ldm	8400386	Leerdam	Leerdam	Leerdam	leerdam	stoptreinstation	51.894722	5.0913887
ledn	8400390	Leiden Centraal	Leiden C.	Leiden C	leiden-centraal	knooppuntintercitystation	52.16611	4.4816666
lg	8400548	Landgraaf	Landgraaf	Landgraaf	landgraaf	knooppuntstoptreinstation	50.89639	6.0191665
lls	8400394	Lelystad Centrum	Lelystad C.	Lelystad	lelystad-centrum	knooppuntintercitystation	52.50778	5.472778
lp	8400403	Loppersum	Loppersum	Loppersum	loppersum	stoptreinstation	53.334713	6.7472625
ltn	8400405	Lunteren	Lunteren	Lunteren	lunteren	stoptreinstation	52.085278	5.6244445
ltv	8400395	Lichtenvoorde-Groenlo	Lichtenvoorde-G.	Lichtenv-G	lichtenvoorde-groenlo	stoptreinstation	52.01188	6.59641
lut	8400248	Geleen-Lutterade	Geleen-Lutterade	Geleen-Lut	geleen-lutterade	stoptreinstation	50.975555	5.8247223
lw	8400387	Leeuwarden	Leeuwarden	Leeuwarden	leeuwarden	knooppuntintercitystation	53.195835	5.792222
lwc	8400389	Leeuwarden Camminghaburen	Camminghaburen	Camminghab	leeuwarden-camminghaburen	stoptreinstation	53.20218	5.8422966
mas	8400419	Maarssen	Maarssen	Maarssen	maarssen	stoptreinstation	52.135277	5.0336113
mdb	8400436	Middelburg	Middelburg	Middelburg	middelburg	stoptreinstation	51.49472	3.6172223
mes	8400434	Meerssen	Meerssen	Meerssen	meerssen	sneltreinstation	50.88288	5.7509995
mg	8400427	Mantgum	Mantgum	Mantgum	mantgum	stoptreinstation	53.12964	5.7131996
mmlh	8400446	Mook Molenhoek	Molenhoek	Mook Molen	mook-molenhoek	stoptreinstation	51.756943	5.872778
mp	8400435	Meppel	Meppel	Meppel	meppel	knooppuntstoptreinstation	52.690834	6.1975
mrb	8400428	Mariënberg	Mariënberg	Mariënberg	marienberg	knooppuntsneltreinstation	52.509445	6.575278
mrn	8400417	Maarn	Maarn	Maarn	maarn	knooppuntstoptreinstation	52.064167	5.37
mss	8400422	Maassluis	Maassluis	Maassluis	maassluis	knooppuntstoptreinstation	51.91611	4.254722
msw	8400421	Maassluis West	Maassluis West	Maassl W	maassluis-west	stoptreinstation	51.925835	4.236111
mt	8400424	Maastricht	Maastricht	Maastricht	maastricht	knooppuntintercitystation	50.850277	5.7055554
mth	8400430	Martenshoek	Martenshoek	Martensh	martenshoek	stoptreinstation	53.160725	6.7402987
mtr	8400426	Maastricht Randwyck	Maastricht Randw	Maastr Rw	maastricht-randwyck	stoptreinstation	50.83861	5.717222
mz	8400432	Maarheeze	Maarheeze	Maarheeze	maarheeze	stoptreinstation	51.30376	5.630343
na	8400454	Nieuw Amsterdam	Nieuw Amsterdam	Nw A'dam	nieuw-amsterdam	sneltreinstation	52.718613	6.848611
ndb	8400452	Naarden-Bussum	Naarden-Bussum	Naarden-B	naarden-bussum	knooppuntstoptreinstation	52.280277	5.1569443
nh	8400467	Nuth	Nuth	Nuth	nuth	stoptreinstation	50.919445	5.892778
nkk	8400469	Nijkerk	Nijkerk	Nijkerk	nijkerk	stoptreinstation	52.22222	5.493889
nm	8400470	Nijmegen	Nijmegen	Nijmegen	nijmegen	knooppuntintercitystation	51.843613	5.8522224
nmd	8400475	Nijmegen Dukenburg	Nm Dukenburg	Dukenburg	nijmegen-dukenburg	stoptreinstation	51.824165	5.7955556
nmh	8400468	Nijmegen Heyendaal	Nm Heyendaal	Heyendaal	nijmegen-heyendaal	stoptreinstation	51.826946	5.8675
nml	8400451	Nijmegen Lent	Lent	Lent	nijmegen-lent	stoptreinstation	51.8642	5.8595
ns	8400466	Nunspeet	Nunspeet	Nunspeet	nunspeet	stoptreinstation	52.370834	5.785278
nsch	8400457	Bad Nieuweschans	Bad Nieuweschans	Nweschans	bad-nieuweschans	knooppuntstoptreinstation	53.1844	7.19937
nvd	8400472	Nijverdal	Nijverdal	Nijverdal	nijverdal	stoptreinstation	52.36555	6.471111
nvp	8400460	Nieuw Vennep	Nieuw Vennep	Nw Vennep	nieuw-vennep	stoptreinstation	52.25889	4.6455555
nwk	8400455	Nieuwerkerk a/d IJssel	Nieuwerkerk	Nieuwerkrk	nieuwerkerk-a-d-ijssel	stoptreinstation	51.96528	4.6169443
nwl	8400563	Schiedam Nieuwland	Nieuwland	Nieuwland	schiedam-nieuwland	stoptreinstation	51.922222	4.382222
o	8400495	Oss	Oss	Oss	oss	knooppuntintercitystation	51.765556	5.5322223
obd	8400480	Obdam	Obdam	Obdam	obdam	stoptreinstation	52.678055	4.9072223
odb	8400498	Oudenbosch	Oudenbosch	Oudenbosch	oudenbosch	stoptreinstation	51.587776	4.5333333
odz	8400483	Oldenzaal	Oldenzaal	Oldenzaal	oldenzaal	stoptreinstation	52.30639	6.9347224
omn	8400487	Ommen	Ommen	Ommen	ommen	knooppuntsneltreinstation	52.509445	6.4158335
op	8400494	Opheusden	Opheusden	Opheusden	opheusden	stoptreinstation	51.926163	5.6371145
ost	8400486	Olst	Olst	Olst	olst	stoptreinstation	52.33472	6.1130557
ot	8400482	Oisterwijk	Oisterwijk	Oisterwijk	oisterwijk	stoptreinstation	51.582222	5.1941667
otb	8400489	Oosterbeek	Oosterbeek	Oosterbeek	oosterbeek	stoptreinstation	51995	5.84
ovn	8400501	Overveen	Overveen	Overveen	overveen	stoptreinstation	52.39111	4.606111
ow	8400496	Oss West	Oss West	Oss W	oss-west	stoptreinstation	51.758057	5.5055556
pmo	8400506	Purmerend Overwhere	Overwhere	Overwhere	purmerend-overwhere	stoptreinstation	52.51139	4.9683332
pmr	8400508	Purmerend	Purmerend	Purmerend	purmerend	knooppuntstoptreinstation	52.503056	4.953611
pmw	8400499	Purmerend Weidevenne	Weidevenne	Weidevenne	purmerend-weidevenne	stoptreinstation	52.49659	4.9356294
pt	8400509	Putten	Putten	Putten	putten	stoptreinstation	52265	5.575278
rai	8400056	Amsterdam RAI	RAI	A'dam RAI	amsterdam-rai	stoptreinstation	52.337223	4.890278
rat	8400513	Raalte	Raalte	Raalte	raalte	stoptreinstation	52.391666	6.2775
rb	8400521	Rilland-Bath	Rilland-Bath	Rilland-B	rilland-bath	stoptreinstation	51.42278	4.161111
rd	8400525	Roodeschool	Roodeschool	Roodesch	roodeschool	stoptreinstation	53.419212	6.760617
rh	8400519	Rheden	Rheden	Rheden	rheden	stoptreinstation	52.01	6.0305557
rhn	8400517	Rhenen	Rhenen	Rhenen	rhenen	knooppuntstoptreinstation	51.95861	5.5783334
rl	8400537	Ruurlo	Ruurlo	Ruurlo	ruurlo	stoptreinstation	52.08109	6.4492655
rlb	8400542	Rotterdam Lombardijen	Lombardijen	Lombardije	rotterdam-lombardijen	stoptreinstation	51.88	4.5313888
rm	8400523	Roermond	Roermond	Roermond	roermond	knooppuntintercitystation	51.193054	5.994167
rs	8400524	Rosmalen	Rosmalen	Rosmalen	rosmalen	stoptreinstation	51.71472	5.3680553
rsd	8400526	Roosendaal	Roosendaal	Roosendaal	roosendaal	knooppuntintercitystation	51.54028	4.4583335
rsn	8400538	Rijssen	Rijssen	Rijssen	rijssen	stoptreinstation	52.31222	6.520278
rsw	8400505	Rijswijk	Rijswijk	Rijswijk	rijswijk	stoptreinstation	52.039722	4.3191667
rta	8400507	Rotterdam Alexander	Alexander	Alexander	rotterdam-alexander	intercitystation	51.951946	4.5536113
rtb	8400529	Rotterdam Blaak	Blaak	Blaak	rotterdam-blaak	intercitystation	51.920277	4.4888887
rtd	8400530	Rotterdam Centraal	Rotterdam C.	R'dam C	rotterdam-centraal	megastation	51925	4.4688888
rtn	8400531	Rotterdam Noord	Rotterdam Noord	R'dam N	rotterdam-noord	stoptreinstation	51.942223	4.4816666
rtst	8400534	Rotterdam Stadion	R'dam Stadion	R'dam Sta	rotterdam-stadion	facultatiefstation	51.89389	4.519722
rtz	8400533	Rotterdam Zuid	Rotterdam Zuid	R'dam Z	rotterdam-zuid	stoptreinstation	51.904446	4.5102777
rv	8400518	Reuver	Reuver	Reuver	reuver	stoptreinstation	51.28322	6.0789585
rvs	8400515	Ravenstein	Ravenstein	Ravenstein	ravenstein	stoptreinstation	51.794167	5.6358333
sbk	8400572	Spaubeek	Spaubeek	Spaubeek	spaubeek	stoptreinstation	50.943054	5.8516665
sd	8400569	Soestdijk	Soestdijk	Soestdijk	soestdijk	stoptreinstation	52.183613	5.3
sda	8400551	Scheemda	Scheemda	Scheemda	scheemda	stoptreinstation	53.165535	6.9777775
sdm	8400553	Schiedam Centrum	Schiedam C.	Schiedam C	schiedam-centrum	intercitystation	51.921246	4.4089937
sdt	8400565	Sliedrecht	Sliedrecht	Sliedrecht	sliedrecht	stoptreinstation	51.829723	4.778333
sgl	8400341	Houthem-St Gerlach	Houthem-St Gerl.	Houthem-St	houthem-st-gerlach	stoptreinstation	50.873333	5.797222
sgn	8400549	Schagen	Schagen	Schagen	schagen	stoptreinstation	52.784443	4.805278
shl	8400561	Schiphol	Schiphol	Schiphol	schiphol	megastation	52.309444	4.7619443
sk	8400566	Sneek	Sneek	Sneek	sneek	knooppuntstoptreinstation	53.032867	5.6523967
sknd	8400574	Sneek Noord	Sneek Noord	Sneek N	sneek-noord	stoptreinstation	53.04093	5.663181
sm	8400583	Swalmen	Swalmen	Swalmen	swalmen	stoptreinstation	51.23582	6.03228
sn	8400554	Schinnen	Schinnen	Schinnen	schinnen	stoptreinstation	50.939167	5.8744445
sog	8400555	Schin op Geul	Schin op Geul	Schin op G	schin-op-geul	stoptreinstation	50.856388	5.8722224
spm	8400545	Sappemeer Oost	Sappemeer Oost	Sappemr O	sappemeer-oost	stoptreinstation	53.158916	6.7955647
sptn	8400543	Santpoort Noord	Santpoort Noord	Santprt N	santpoort-noord	stoptreinstation	52.433887	4.6325
sptz	8400544	Santpoort Zuid	Santpoort Zuid	Santprt Z	santpoort-zuid	stoptreinstation	52.419724	4.6313887
srn	8400582	Susteren	Susteren	Susteren	susteren	stoptreinstation	51.06139	5.8630557
st	8400567	Soest	Soest	Soest	soest	knooppuntstoptreinstation	52.173332	5.31
std	8400564	Sittard	Sittard	Sittard	sittard	knooppuntintercitystation	51.001667	5.858611
stm	8400576	Stedum	Stedum	Stedum	stedum	stoptreinstation	53.32621	6.6875553
stv	8400575	Stavoren	Stavoren	Stavoren	stavoren	stoptreinstation	52.886555	5.360021
stz	8400571	Soest Zuid	Soest Zuid	Soest Z	soest-zuid	stoptreinstation	52.16528	5.303056
swd	8400547	Sauwerd	Sauwerd	Sauwerd	sauwerd	stoptreinstation	53.29113	6.5404
swk	8400578	Steenwijk	Steenwijk	Steenwijk	steenwijk	intercitystation	52.79151	6.114556
tb	8400597	Tilburg	Tilburg	Tilburg	tilburg	knooppuntintercitystation	51.560555	5.083611
tbg	8400592	Terborg	Terborg	Terborg	terborg	stoptreinstation	51.922455	6.3642464
tbr	8400598	Tilburg Reeshof	Reeshof	Reeshof	tilburg-reeshof	stoptreinstation	51.573612	4.9944444
tbu	8400594	Tilburg Universiteit	Tilburg Univers.	Tilburg U	tilburg-universiteit	stoptreinstation	51565	5.051111
tg	8400591	Tegelen	Tegelen	Tegelen	tegelen	stoptreinstation	51.33894	6.14253
tl	8400596	Tiel	Tiel	Tiel	tiel	knooppuntstoptreinstation	51.889446	5.422222
tpsw	8400600	Tiel Passewaaij	Passewaaij	Passewaaij	tiel-passewaaij	stoptreinstation	51.87389	5.3922224
twl	8400599	Twello	Twello	Twello	twello	stoptreinstation	52.237778	6.098611
uhm	8400618	Uithuizermeeden	Uithuizermeeden	Uithuizerm	uithuizermeeden	stoptreinstation	53.414585	6.7202973
uhz	8400617	Uithuizen	Uithuizen	Uithuizen	uithuizen	stoptreinstation	53.409958	6.6748867
ust	8400619	Usquert	Usquert	Usquert	usquert	stoptreinstation	53.401474	6.6093774
ut	8400621	Utrecht Centraal	Utrecht C.	Utrecht C	utrecht-centraal	megastation	52.08889	5.1102777
utg	8400615	Uitgeest	Uitgeest	Uitgeest	uitgeest	knooppuntstoptreinstation	52.521667	4.701667
utl	8400623	Utrecht Lunetten	Lunetten	Lunetten	utrecht-lunetten	stoptreinstation	52.065556	5.1441665
utm	8400624	Utrecht Maliebaan	Maliebaan	Maliebaan	utrecht-maliebaan	stoptreinstation	52.087776	5.1313887
uto	8400620	Utrecht Overvecht	Overvecht	Overvecht	utrecht-overvecht	knooppuntstoptreinstation	52.11	5.124722
utt	8400614	Utrecht Terwijde	Terwijde	Terwijde	utrecht-terwijde	stoptreinstation	52.100555	5.0416665
utzl	8400613	Utrecht Zuilen	Zuilen	Zuilen	utrecht-zuilen	stoptreinstation	52.103054	5.09
vb	8400658	Voorburg	Voorburg	Voorburg	voorburg	stoptreinstation	52.066666	4.3594446
vd	8400661	Vorden	Vorden	Vorden	vorden	stoptreinstation	52.107193	6.3170457
vdg	8400650	Vlaardingen Centrum	Vlaardingen C.	Vlaard C	vlaardingen-centrum	knooppuntstoptreinstation	51.903057	4.3441668
vdl	8400656	Voerendaal	Voerendaal	Voerendaal	voerendaal	stoptreinstation	50.887222	5.930278
vdo	8400649	Vlaardingen Oost	Vlaardingen Oost	Vlaard O	vlaardingen-oost	stoptreinstation	51.91028	4.3616667
vdw	8400642	Vlaardingen West	Vlaardingen West	Vlaard W	vlaardingen-west	stoptreinstation	51.904167	4.3130555
vem	8400668	Voorst-Empe	Voorst-Empe	Voorst-E	voorst-empe	stoptreinstation	52.1575	6.143611
vg	8400667	Vught	Vught	Vught	vught	stoptreinstation	51.655556	5.2919445
vh	8400655	Voorhout	Voorhout	Voorhout	voorhout	stoptreinstation	52.224445	4.4844446
vhp	8400666	Vroomshoop	Vroomshoop	Vroomshoop	vroomshoop	stoptreinstation	52.45719	6.569668
vk	8400632	Valkenburg	Valkenburg	Valkenburg	valkenburg	knooppuntsneltreinstation	50.86972	5.832222
vl	8400644	Venlo	Venlo	Venlo	venlo	knooppuntintercitystation	51.36361	6.1727777
vlb	8400647	Vierlingsbeek	Vierlingsbeek	Vierlingsb	vierlingsbeek	stoptreinstation	51.59193	5.99714
vndc	8400627	Veenendaal Centrum	Veenendaal C.	Veenendl C	veenendaal-centrum	knooppuntstoptreinstation	52.02	5.548611
vndw	8400628	Veenendaal West	Veenendaal West	Veenendl W	veenendaal-west	stoptreinstation	52.028057	5.5313888
vp	8400640	Velp	Velp	Velp	velp	stoptreinstation	51.99472	5.980278
vry	8400646	Venray	Venray	Venray	venray	knooppuntstoptreinstation	51.52657	6.014178
vs	8400652	Vlissingen	Vlissingen	Vlissingen	vlissingen	knooppuntintercitystation	51.445835	3.5952778
vss	8400653	Vlissingen Souburg	Souburg	Souburg	vlissingen-souburg	stoptreinstation	51.46472	3.5952778
vst	8400659	Voorschoten	Voorschoten	Voorschtn	voorschoten	stoptreinstation	52.12528	4.4325
vsv	8400635	Varsseveld	Varsseveld	Varsseveld	varsseveld	stoptreinstation	51.937256	6.458839
vtn	8400651	Vleuten	Vleuten	Vleuten	vleuten	stoptreinstation	52.103054	5.0108333
vwd	8400638	Veenwouden	Veenwouden	Veenwouden	veenwouden	stoptreinstation	53.235184	5.9886613
vz	8400664	Vriezenveen	Vriezenveen	Vriezenvn	vriezenveen	stoptreinstation	52.40203	6.60041
wad	8400675	Waddinxveen	Waddinxveen	Waddinxv	waddinxveen	stoptreinstation	52.044167	4.649722
wadn	8400674	Waddinxveen Noord	Waddinxveen N.	Waddinxv N	waddinxveen-noord	stoptreinstation	52055	4.6483335
wc	8400710	Wijchen	Wijchen	Wijchen	wijchen	stoptreinstation	51.81167	5.7308335
wd	8400702	Woerden	Woerden	Woerden	woerden	knooppuntstoptreinstation	52085	4.893611
wdn	8400691	Wierden	Wierden	Wierden	wierden	knooppuntstoptreinstation	52.36139	6.5916667
wf	8400704	Wolfheze	Wolfheze	Wolfheze	wolfheze	stoptreinstation	52.005554	5.793611
wfm	8400679	Warffum	Warffum	Warffum	warffum	stoptreinstation	53.390842	6.5671363
wh	8400711	Wijhe	Wijhe	Wijhe	wijhe	stoptreinstation	52.390278	6.1405554
wk	8400706	Workum	Workum	Workum	workum	stoptreinstation	52.972485	5.4564285
wl	8400686	Wehl	Wehl	Wehl	wehl	stoptreinstation	51.957806	6.213844
wm	8400707	Wormerveer	Wormerveer	Wormerveer	wormerveer	stoptreinstation	52.489166	4.792222
wp	8400685	Weesp	Weesp	Weesp	weesp	knooppuntstoptreinstation	52.31278	5.0430555
ws	8400696	Winschoten	Winschoten	Winschoten	winschoten	knooppuntstoptreinstation	53.139236	7.035101
wsm	8400697	Winsum	Winsum	Winsum	winsum	stoptreinstation	53.3301	6.5202904
wt	8400684	Weert	Weert	Weert	weert	intercitystation	51.24861	5.703611
wv	8400705	Wolvega	Wolvega	Wolvega	wolvega	stoptreinstation	52.880833	6.003611
ww	8400698	Winterswijk	Winterswijk	Winterswk	winterswijk	knooppuntstoptreinstation	51.96773	6.715518
www	8400700	Winterswijk West	Winterswijk West	Wintersw W	winterswijk-west	stoptreinstation	51.97453	6.70417
wz	8400690	Wezep	Wezep	Wezep	wezep	stoptreinstation	52.454166	6.0025
ypb	8400379	Den Haag Ypenburg	Ypenburg	Ypenburg	den-haag-ypenburg	stoptreinstation	52.05528	4.3922224
za	8400734	Zetten-Andelst	Zetten-Andelst	Zetten-A	zetten-andelst	stoptreinstation	51.920055	5.722841
zb	8400742	Zuidbroek	Zuidbroek	Zuidbroek	zuidbroek	knooppuntstoptreinstation	53.15961	6.867914
zbm	8400732	Zaltbommel	Zaltbommel	Zaltbommel	zaltbommel	stoptreinstation	51.808887	5.2633333
zd	8400731	Zaandam	Zaandam	Zaandam	zaandam	knooppuntintercitystation	52.43889	4.813611
zdk	8400728	Zaandam Kogerveld	Kogerveld	Kogerveld	zaandam-kogerveld	stoptreinstation	52.456665	4.8202777
zh	8400743	Zuidhorn	Zuidhorn	Zuidhorn	zuidhorn	stoptreinstation	53.24863	6.406236
zl	8400747	Zwolle	Zwolle	Zwolle	zwolle	knooppuntintercitystation	52.504723	6.091944
zlw	8400382	Lage Zwaluwe	Lage Zwaluwe	Lage Zwalu	lage-zwaluwe	knooppuntstoptreinstation	51.691113	4.6630554
zp	8400744	Zutphen	Zutphen	Zutphen	zutphen	knooppuntintercitystation	52.14528	6.1941667
ztm	8400741	Zoetermeer	Zoetermeer	Zoetermeer	zoetermeer	knooppuntstoptreinstation	52.0475	4.4772224
ztmo	8400740	Zoetermeer Oost	Zoetermeer Oost	Z'meer O	zoetermeer-oost	stoptreinstation	52.04639	4.492778
zv	8400735	Zevenaar	Zevenaar	Zevenaar	zevenaar	knooppuntstoptreinstation	51.923054	6.071944
zvb	8400737	Zevenbergen	Zevenbergen	Zevenbergn	zevenbergen	stoptreinstation	51.64042	4.60904
zvt	8400733	Zandvoort aan Zee	Zandvoort a Zee	Zandvoort	zandvoort-aan-zee	stoptreinstation	52.37528	4.532778
zwd	8400752	Zwijndrecht	Zwijndrecht	Zwijndrcht	zwijndrecht	stoptreinstation	51815	4.641667
zww	8400745	Zwaagwesteinde	Zwaagwesteinde	Zwaagwest	zwaagwesteinde	stoptreinstation	53.24817	6.03463
vdm	8400636	Veendam	Veendam	Veendam	veendam	knooppuntstoptreinstation	53.10324	6.88475
ssh	8400603	Sassenheim	Sassenheim	Sassenheim	sassenheim	stoptreinstation	52.21528	4.517222
wtv	8400688	Westervoort	Westervoort	Westervrt	westervoort	stoptreinstation	51.96286	5.9695
bhdv	8400236	Boven-Hardinxveld	Boven-Hardinxv.	Boven-H.	boven-hardinxveld	stoptreinstation	51.832222	4.878056
sdtb	8400497	Sliedrecht Baanhoek	Baanhoek	Baanhoek	sliedrecht-baanhoek	stoptreinstation	51.829723	4.743333
hry	8400301	Heerenveen IJsstadion	IJsstadion	H'veen IJs	heerenveen-ijsstadion	facultatiefstation	52.935276	5.9438887
krw	8400573	Kerkrade West	Kerkrade West	Kerkrade W	kerkrade-west	facultatiefstation	50.85355	6.02578
olv	8400997	Onze Lieve Vrouwe t. Nood	OLV. ter Nood	Lieve Vrou	onze-lieve-vrouwe-t-nood	facultatiefstation	52.583332	4.686667
spv	8400559	Simpelveld	Simpelveld	Simpelveld	simpelveld	facultatiefstation	50.831474	5.979738
ampo	8400450	Almere Poort	Poort	Almere P	almere-poort	stoptreinstation	52.342777	5.151944
dron	8400198	Dronten	Dronten	Dronten	dronten	stoptreinstation	52.5344	5.72089
hwzb	8400400	Halfweg-Zwanenburg	Halfweg-Zwanenb.	Halfweg-Zw	halfweg-zwanenburg	stoptreinstation	52.384724	4.751667
hbzm	8400438	Hardinxveld Blauwe Zoom	Blauwe Zoom	Blauwe Z	hardinxveld-blauwe-zoom	stoptreinstation	51.82944	4.81556
hglg	8400433	Hengelo Gezondheidspark	Gezondheidspark	Hengelo G	hengelo-gezondheidspark	stoptreinstation	52.261665	6.773611
hvl	8400490	Hoevelaken	Hoevelaken	Hoevelaken	hoevelaken	stoptreinstation	52.16652	5.45718
kpnz	8400360	Kampen Zuid	Kampen Zuid	Kampen Z	kampen-zuid	stoptreinstation	52.5331	5.91309
sph	8400670	Spekholzerheide	Spekholzerheide	Spekholzer	spekholzerheide	facultatiefstation	50.85355	6.02578
wij	8400712	Gulpen-Wijlre	Gulpen-Wijlre	Gulpen-W	gulpen-wijlre	facultatiefstation	50.833057	5.898056
wtm	8400608	Eijs-Wittem	Eijs-Wittem	Eijs-Witt	eijs-wittem	facultatiefstation	50.82317	5.92479
adh	8400406	Leeuwarden Achter d Hoven	Achter de Hoven	Achter d.H	leeuwarden-achter-d-hoven	facultatiefstation	53.19889	5.81639
utlr	8400607	Utrecht Leidsche Rijn	Leidsche Rijn	Leidsche R	utrecht-leidsche-rijn	stoptreinstation	52.09896	5.06523
hvsm	8400324	Hilversum Media Park	H'sum Media Park	Media Park	hilversum-media-park	stoptreinstation	52.238056	5.1738887
mtn	8400449	Maastricht Noord	Maastricht Noord	Maastr N	maastricht-noord	stoptreinstation	50.87087	5.71774
